VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2017-06-01 00:33:45,2017-06-01 01:39:52,N,4,35,265,1,90.41,404.5,0.5,0.5,0,5.76,,0.3,413.51,2,1
2,2017-06-01 00:33:55,2017-06-01 23:36:23,N,1,263,75,1,.38,4,0.5,0.5,1.59,0,,0.3,6.89,1,1
2,2017-06-01 00:12:07,2017-06-01 00:12:07,N,1,255,43,1,9.49,31,0.5,0.5,8.08,0,,0.3,40.38,1,1
2,2017-06-01 00:17:26,2017-06-01 00:20:01,N,1,256,256,1,.59,4,0.5,0.5,1.06,0,,0.3,6.36,1,1
2,2017-06-01 00:17:22,2017-06-01 00:24:21,N,1,130,135,3,2.08,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2017-06-01 00:39:41,2017-06-01 00:42:17,N,1,256,255,1,.57,4,0.5,0.5,1.32,0,,0.3,6.62,1,1
2,2017-06-01 00:37:31,2017-06-01 00:47:38,N,1,66,148,1,2.30,10,0.5,0.5,2.26,0,,0.3,13.56,1,1
2,2017-06-01 00:37:05,2017-06-01 00:52:48,N,1,256,40,5,4.85,16.5,0.5,0.5,3.56,0,,0.3,21.36,1,1
2,2017-06-01 00:02:16,2017-06-01 00:02:46,N,1,166,152,1,.10,2.5,0.5,0.5,0,0,,0.3,3.8,2,1
2,2017-06-01 00:00:38,2017-06-01 00:04:38,N,1,196,95,1,1.26,6,0.5,0.5,1.82,0,,0.3,9.12,1,1
2,2017-06-01 00:00:22,2017-06-01 00:04:43,N,1,255,256,1,.92,5,0.5,0.5,1.58,0,,0.3,7.88,1,1
2,2017-06-01 00:00:57,2017-06-01 00:04:42,N,1,129,260,1,.64,4.5,0.5,0.5,1.45,0,,0.3,7.25,1,1
2,2017-06-01 00:00:53,2017-06-01 00:05:01,N,1,255,80,1,.99,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-06-01 00:01:23,2017-06-01 00:05:21,N,1,255,256,1,.87,5,0.5,0.5,3,0,,0.3,9.3,1,1
2,2017-06-01 00:00:46,2017-06-01 00:05:18,N,1,25,97,1,.70,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2017-06-01 00:03:01,2017-06-01 00:04:59,N,1,7,7,1,.39,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,2017-06-01 00:03:58,2017-06-01 00:05:36,N,1,146,7,1,.63,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2017-06-01 00:00:43,2017-06-01 00:05:46,N,1,7,7,1,1.08,6,0.5,0.5,2.19,0,,0.3,9.49,1,1
2,2017-06-01 00:02:05,2017-06-01 00:05:42,N,1,65,65,1,.53,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2017-06-01 00:00:03,2017-06-01 00:05:57,N,1,255,112,5,1.32,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-06-01 00:00:22,2017-06-01 00:05:56,N,1,223,70,1,2.70,9.5,0.5,0.5,0,0,,0.3,10.8,1,1
2,2017-06-01 00:01:47,2017-06-01 00:05:24,N,1,256,256,4,.81,5,0.5,0.5,0,0,,0.3,6.3,1,1
2,2017-06-01 00:03:58,2017-06-01 00:05:36,N,1,146,7,1,.63,-4,-0.5,-0.5,0,0,,-0.3,-5.3,4,1
2,2017-06-01 00:00:47,2017-06-01 00:06:12,N,1,82,83,1,1.08,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-06-01 00:06:34,2017-06-01 00:06:42,N,5,168,168,1,.05,15,0,0,0,0,,0,15,1,2
2,2017-06-01 00:01:25,2017-06-01 00:07:01,N,1,129,129,1,.76,6,0.5,0.5,0,0,,0.3,7.3,1,1
2,2017-06-01 00:00:30,2017-06-01 00:06:50,N,1,129,129,1,1.02,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1
2,2017-06-01 00:00:43,2017-06-01 00:07:02,N,1,82,129,1,.99,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-06-01 00:05:02,2017-06-01 00:07:16,N,1,255,255,5,.50,3.5,0.5,0.5,0.96,0,,0.3,5.76,1,1
2,2017-06-01 00:07:13,2017-06-01 00:07:13,N,5,264,248,1,.00,25.8,0,0,0,0,,0.3,26.1,1,2
2,2017-06-01 00:04:01,2017-06-01 00:07:20,N,1,179,179,1,.88,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2017-06-01 00:01:42,2017-06-01 00:06:59,N,1,260,82,5,.68,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-06-01 00:02:03,2017-06-01 00:06:51,N,1,7,226,1,1.27,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-06-01 00:01:46,2017-06-01 00:07:26,N,1,52,228,1,1.68,7,0.5,0.5,0.01,0,,0.3,8.31,1,1
2,2017-06-01 00:03:16,2017-06-01 00:07:06,N,1,223,7,5,1.04,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-06-01 00:00:45,2017-06-01 00:07:40,N,1,65,97,1,1.20,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-06-01 00:03:02,2017-06-01 00:07:17,N,1,223,223,1,.74,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-06-01 00:00:10,2017-06-01 00:07:15,N,1,89,181,1,2.12,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2017-06-01 00:03:36,2017-06-01 00:08:09,N,1,181,49,1,1.18,6,0.5,0.5,1.82,0,,0.3,9.12,1,1
2,2017-06-01 00:02:14,2017-06-01 00:08:07,N,1,42,42,1,.83,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1
2,2017-06-01 00:02:00,2017-06-01 00:07:49,N,1,146,7,2,1.17,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-06-01 00:01:51,2017-06-01 00:08:15,N,1,181,52,2,1.89,7.5,0.5,0.5,2.2,0,,0.3,11,1,1
2,2017-06-01 00:01:50,2017-06-01 00:08:16,N,1,189,17,1,1.72,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1
2,2017-06-01 00:06:22,2017-06-01 00:08:25,N,1,166,166,1,.40,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,2017-06-01 00:05:58,2017-06-01 00:08:04,N,1,256,80,5,.11,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,2017-06-01 00:02:22,2017-06-01 00:08:40,N,1,129,129,5,1.13,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-06-01 00:05:20,2017-06-01 00:09:15,N,1,166,24,1,.88,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2017-06-01 00:02:22,2017-06-01 00:09:22,N,1,255,256,1,1.17,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1
2,2017-06-01 00:01:39,2017-06-01 00:08:39,N,1,41,42,1,1.24,7,0.5,0.5,1,0,,0.3,9.3,1,1
2,2017-06-01 00:02:42,2017-06-01 00:09:56,N,1,181,25,1,1.33,7.5,0.5,0.5,2.2,0,,0.3,11,1,1
2,2017-06-01 00:01:45,2017-06-01 00:10:08,N,1,74,168,1,1.80,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2017-06-01 00:05:57,2017-06-01 00:10:23,N,1,25,97,1,.36,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1
2,2017-06-01 00:04:19,2017-06-01 00:10:10,N,1,130,28,1,.96,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-06-01 00:00:24,2017-06-01 00:09:56,N,1,223,82,2,2.57,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,2017-06-01 00:01:39,2017-06-01 00:10:56,N,1,74,152,1,1.94,9,0.5,0.5,0,0,,0.3,10.3,1,1
2,2017-06-01 00:04:56,2017-06-01 00:10:59,N,1,256,17,1,1.54,7,0.5,0.5,1.66,0,,0.3,9.96,1,1
2,2017-06-01 00:04:02,2017-06-01 00:10:53,N,1,17,37,1,1.39,7,0.5,0.5,1.66,0,,0.3,9.96,1,1
2,2017-06-01 00:03:54,2017-06-01 00:11:08,N,1,223,7,1,1.49,7.5,0.5,0.5,2.2,0,,0.3,11,1,1
2,2017-06-01 00:05:24,2017-06-01 00:10:31,N,1,112,255,1,.89,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-06-01 00:00:37,2017-06-01 00:11:12,N,1,225,35,1,2.26,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,2017-06-01 00:04:45,2017-06-01 00:11:25,N,1,25,189,1,1.51,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1
2,2017-06-01 00:06:29,2017-06-01 00:11:41,N,1,95,95,1,1.22,6.5,0.5,0.5,1,0,,0.3,8.8,1,1
2,2017-06-01 00:03:42,2017-06-01 00:11:12,N,1,196,198,2,3.16,11,0.5,0.5,0,0,,0.3,12.3,2,1
2,2017-06-01 00:01:40,2017-06-01 00:11:39,N,1,33,148,1,3.40,12,0.5,0.5,3.32,0,,0.3,16.62,1,1
2,2017-06-01 00:06:11,2017-06-01 00:11:43,N,1,49,17,1,1.03,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-06-01 00:05:52,2017-06-01 00:12:11,N,1,49,181,1,1.16,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-06-01 00:03:47,2017-06-01 00:12:14,N,1,95,28,1,1.95,8.5,0.5,0.5,2.94,0,,0.3,12.74,1,1
2,2017-06-01 00:00:31,2017-06-01 00:12:36,N,1,134,132,2,6.39,20,0.5,0.5,4.26,0,,0.3,25.56,1,1
2,2017-06-01 00:05:13,2017-06-01 00:12:25,N,1,17,256,1,2.45,9,0.5,0.5,2.06,0,,0.3,12.36,1,1
2,2017-06-01 00:01:35,2017-06-02 00:00:00,N,1,42,119,1,2.57,10.5,0.5,0.5,0,0,,0.3,11.8,1,1
2,2017-06-01 00:08:11,2017-06-02 00:02:17,N,1,255,112,2,1.04,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-06-01 00:02:46,2017-06-01 00:13:10,N,1,74,152,1,1.74,9,0.5,0.5,0,0,,0.3,10.3,1,1
2,2017-06-01 00:08:56,2017-06-01 00:13:09,N,1,145,112,1,1.49,6.5,0.5,0.5,0,0,,0.3,7.8,1,1
2,2017-06-01 00:09:56,2017-06-01 00:12:52,N,1,41,42,1,.39,4,0.5,0.5,0,0,,0.3,5.3,1,1
2,2017-06-01 00:11:10,2017-06-01 00:13:08,N,1,74,75,1,.79,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2017-06-01 00:07:18,2017-06-01 00:13:05,N,1,223,223,2,1.29,6.5,0.5,0.5,1.95,0,,0.3,9.75,1,1
2,2017-06-01 00:07:13,2017-06-01 00:13:24,N,1,210,210,2,.95,6,0.5,0.5,1.7,0,,0.3,9,1,1
2,2017-06-01 00:05:08,2017-06-01 00:13:29,N,1,130,10,1,2.15,8.5,0.5,0.5,0,0,,0.3,9.8,1,1
2,2017-06-01 00:06:33,2017-06-01 00:13:40,N,5,136,243,1,1.76,12,0,0,2.4,0,,0,14.4,1,2
2,2017-06-01 00:00:22,2017-06-01 00:13:56,N,1,61,35,1,3.45,13,0.5,0.5,0,0,,0.3,14.3,1,1
2,2017-06-01 00:10:04,2017-06-01 00:13:22,N,1,41,74,1,.81,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-06-01 00:08:33,2017-06-01 00:13:22,N,1,82,56,1,1.29,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-06-01 00:03:01,2017-06-01 00:14:03,N,1,65,37,1,4.38,14.5,0.5,0.5,0,0,,0.3,15.8,2,1
2,2017-06-01 00:09:45,2017-06-01 00:14:19,N,1,7,7,1,.76,5,0.5,0.5,1.89,0,,0.3,8.19,1,1
2,2017-06-01 00:07:03,2017-06-01 00:14:29,N,1,256,112,1,1.49,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2017-06-01 00:06:45,2017-06-01 00:14:08,N,1,212,235,1,3.54,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,2017-06-01 00:14:31,2017-06-01 00:14:55,N,1,95,95,2,.00,2.5,0.5,0.5,0,0,,0.3,3.8,2,1
2,2017-06-01 00:08:13,2017-06-01 00:14:59,N,1,16,252,1,2.59,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,2017-06-01 00:01:21,2017-06-01 00:15:05,N,1,255,181,1,4.59,15.5,0.5,0.5,5.04,0,,0.3,21.84,1,1
2,2017-06-01 00:10:01,2017-06-01 00:15:10,N,1,255,112,1,1.15,6,0.5,0.5,1.46,0,,0.3,8.76,1,1
2,2017-06-01 00:03:35,2017-06-01 00:14:14,N,1,74,247,1,2.94,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,2017-06-01 00:09:49,2017-06-01 00:14:33,N,1,112,112,1,.86,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-06-01 00:09:41,2017-06-01 00:15:05,N,1,7,223,1,1.12,6,0.5,0.5,1.46,0,,0.3,8.76,1,1
2,2017-06-01 00:09:31,2017-06-01 00:15:13,N,1,95,135,5,1.66,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2017-06-01 00:10:58,2017-06-01 00:14:50,N,1,7,223,1,.84,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-06-01 00:08:18,2017-06-01 00:15:54,N,1,97,256,1,3.29,11.5,0.5,0.5,3.2,0,,0.3,16,1,1
2,2017-06-01 00:10:53,2017-06-01 00:15:41,N,1,260,260,1,.98,5.5,0.5,0.5,2.04,0,,0.3,8.84,1,1
2,2017-06-01 00:11:58,2017-06-01 00:16:04,N,1,97,49,1,1.14,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-06-01 00:10:56,2017-06-01 00:15:20,N,1,255,255,1,1.01,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-06-01 00:07:56,2017-06-01 00:16:26,N,1,82,82,1,1.52,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2017-06-01 00:03:23,2017-06-01 00:15:47,N,1,7,56,5,6.26,18.5,0.5,0.5,0,0,,0.3,19.8,2,1
2,2017-06-01 00:07:50,2017-06-01 00:16:12,N,1,65,25,1,1.53,7.5,0.5,0.5,0,0,,0.3,8.8,1,1
2,2017-06-01 00:06:47,2017-06-01 00:16:40,N,1,127,243,1,1.88,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,2017-06-01 00:04:44,2017-06-01 00:16:08,N,1,56,82,1,2.09,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2017-06-01 00:11:13,2017-06-01 00:16:43,N,1,129,129,1,1.12,6,0.5,0.5,1.7,0,,0.3,9,1,1
2,2017-06-01 00:07:32,2017-06-01 00:16:38,N,1,42,244,1,2.13,9,0.5,0.5,1,0,,0.3,11.3,1,1
2,2017-06-01 00:00:02,2017-06-01 00:16:53,N,1,82,7,1,4.58,17,0.5,0.5,0,0,,0.3,18.3,2,1
2,2017-06-01 00:12:31,2017-06-01 00:16:26,N,1,243,243,1,.55,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2017-06-01 00:02:57,2017-06-01 00:15:50,N,1,82,56,2,2.60,11,0.5,0.5,0,0,,0.3,12.3,2,1
2,2017-06-01 00:05:52,2017-06-01 00:17:19,N,1,112,226,1,2.77,11.5,0.5,0.5,2.56,0,,0.3,15.36,1,1
2,2017-06-01 00:10:06,2017-06-01 00:17:10,N,1,212,147,3,2.59,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2017-06-01 00:05:48,2017-06-01 00:17:23,N,1,134,258,1,3.02,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,2017-06-01 00:06:48,2017-06-01 00:15:53,N,1,75,24,1,1.59,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2017-06-01 00:05:42,2017-06-01 00:17:22,N,1,129,83,1,2.85,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,2017-06-01 00:04:26,2017-06-01 00:17:30,N,1,130,139,1,4.02,14,0.5,0.5,0,0,,0.3,15.3,2,1
2,2017-06-01 00:05:53,2017-06-01 00:17:41,N,1,255,226,1,3.39,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
2,2017-06-01 00:12:50,2017-06-01 00:16:10,N,1,82,82,1,.26,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2017-06-01 00:04:22,2017-06-01 00:18:00,N,1,7,129,1,3.13,12,0.5,0.5,3.32,0,,0.3,16.62,1,1
2,2017-06-01 00:06:41,2017-06-01 00:18:15,N,1,25,190,1,2.70,11.5,0.5,0.5,3.84,0,,0.3,16.64,1,1
2,2017-06-01 00:03:15,2017-06-01 00:18:02,N,1,66,82,1,7.64,22.5,0.5,0.5,0,0,,0.3,23.8,1,1
2,2017-06-01 00:08:50,2017-06-01 00:18:08,N,1,260,7,5,1.86,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,2017-06-01 00:06:17,2017-06-01 00:18:42,N,1,25,225,1,3.10,12,0.5,0.5,2.66,0,,0.3,15.96,1,1
2,2017-06-01 00:04:01,2017-06-01 00:19:14,N,1,97,36,5,3.25,13,0.5,0.5,0,0,,0.3,14.3,1,1
2,2017-06-01 00:11:45,2017-06-01 23:47:18,N,1,260,157,1,1.35,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2017-06-01 00:06:29,2017-06-01 00:19:24,N,1,256,233,2,4.82,16,0.5,0.5,3.46,0,,0.3,20.76,1,1
2,2017-06-01 00:07:42,2017-06-01 00:18:40,N,1,179,173,1,4.35,15,0.5,0.5,0,0,,0.3,16.3,2,1
2,2017-06-01 00:08:32,2017-06-01 00:19:28,N,1,95,121,6,2.70,11,0.5,0.5,0,0,,0.3,12.3,1,1
2,2017-06-01 00:09:59,2017-06-01 00:19:42,N,1,112,49,1,3.37,11.5,0.5,0.5,2.56,0,,0.3,15.36,1,1
2,2017-06-01 00:06:01,2017-06-01 00:19:59,N,1,255,97,1,3.31,12.5,0.5,0.5,2.2,0,,0.3,16,1,1
2,2017-06-01 00:18:27,2017-06-01 00:20:41,N,1,17,17,1,.42,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,2017-06-01 00:01:01,2017-06-01 00:20:52,N,1,75,50,1,5.24,19,0.5,0.5,1,0,,0.3,21.3,1,1
2,2017-06-01 00:03:11,2017-06-01 00:20:59,N,1,41,169,1,4.33,16,0.5,0.5,0,0,,0.3,17.3,1,1
2,2017-06-01 00:10:21,2017-06-01 00:15:53,N,1,255,80,1,.88,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-06-01 00:04:07,2017-06-01 00:21:11,N,1,255,33,1,4.31,16.5,0.5,0.5,4.45,0,,0.3,22.25,1,1
2,2017-06-01 00:04:26,2017-06-01 00:21:19,N,1,65,65,1,2.22,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
2,2017-06-01 00:06:36,2017-06-01 00:21:42,N,1,244,163,1,6.88,21,0.5,0.5,4.46,0,,0.3,26.76,1,1
2,2017-06-01 00:09:58,2017-06-01 00:21:03,N,1,7,82,1,2.13,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2017-06-01 00:07:30,2017-06-01 00:21:21,N,1,255,25,1,4.35,15,0.5,0.5,0,0,,0.3,16.3,2,1
2,2017-06-01 00:09:22,2017-06-01 00:22:17,N,1,25,61,2,2.90,12,0.5,0.5,3.32,0,,0.3,16.62,1,1
2,2017-06-01 00:11:02,2017-06-01 00:22:26,N,1,25,17,1,2.30,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2017-06-01 00:05:23,2017-06-01 00:21:48,N,1,37,7,1,5.97,19.5,0.5,0.5,0,0,,0.3,20.8,2,1
2,2017-06-01 00:10:56,2017-06-01 00:22:15,N,1,66,79,2,4.22,14,0.5,0.5,4.7,0,,0.3,20,1,1
2,2017-06-01 00:11:42,2017-06-01 00:22:26,N,1,49,61,1,2.61,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,2017-06-01 00:08:15,2017-06-01 00:22:51,N,1,7,82,3,2.89,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
2,2017-06-01 00:04:54,2017-06-01 00:22:58,N,1,129,9,1,9.66,28,0.5,0.5,5.86,0,,0.3,35.16,1,1
2,2017-06-01 00:05:20,2017-06-01 00:22:48,N,1,42,107,1,7.18,23,0.5,0.5,4.86,0,,0.3,29.16,1,1
2,2017-06-01 00:07:24,2017-06-01 00:23:01,N,1,255,113,1,3.54,14,0.5,0.5,3.06,0,,0.3,18.36,1,1
2,2017-06-01 00:08:35,2017-06-01 00:23:12,N,1,255,25,1,3.83,15,0.5,0.5,0,0,,0.3,16.3,2,1
2,2017-06-01 00:11:58,2017-06-01 00:23:14,N,1,255,37,2,2.41,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1
2,2017-06-01 00:08:02,2017-06-01 00:24:41,N,1,36,144,1,4.41,16,0.5,0.5,3.46,0,,0.3,20.76,1,1
2,2017-06-01 00:13:16,2017-06-01 00:24:32,N,1,83,223,1,2.30,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,2017-06-01 00:10:28,2017-06-01 00:24:49,N,1,255,226,1,3.21,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2017-06-01 00:00:08,2017-06-01 00:25:09,N,1,41,144,1,9.18,29.5,0.5,0.5,7.7,0,,0.3,38.5,1,1
2,2017-06-01 00:04:20,2017-06-01 00:24:13,N,1,255,195,2,4.94,18,0.5,0.5,3.86,0,,0.3,23.16,1,1
2,2017-06-01 00:10:22,2017-06-01 00:25:56,N,1,255,80,1,2.78,12.5,0.5,0.5,3,0,,0.3,16.8,1,1
2,2017-06-01 00:06:49,2017-06-01 00:26:15,N,1,129,173,1,2.23,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2017-06-01 00:07:59,2017-06-01 00:27:06,N,1,112,225,1,3.28,15,0.5,0.5,3.26,0,,0.3,19.56,1,1
2,2017-06-01 00:10:54,2017-06-01 00:26:59,N,1,188,91,1,3.06,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2017-06-01 00:08:46,2017-06-01 00:27:54,N,1,255,145,1,2.59,15,0.5,0.5,0,0,,0.3,16.3,2,1
2,2017-06-01 00:00:40,2017-06-01 00:29:41,N,1,129,46,3,13.97,40.5,0.5,0.5,0,5.76,,0.3,47.56,2,1
2,2017-06-01 00:06:59,2017-06-01 00:29:55,N,1,42,48,1,6.20,22.5,0.5,0.5,4.76,0,,0.3,28.56,1,1
2,2017-06-01 00:07:12,2017-06-01 00:29:49,N,1,7,75,1,6.57,22,0.5,0.5,0,0,,0.3,23.3,2,1
2,2017-06-01 00:10:27,2017-06-01 00:30:21,N,1,255,249,1,4.68,17.5,0.5,0.5,3.76,0,,0.3,22.56,1,1
2,2017-06-01 00:07:44,2017-06-01 00:29:56,N,1,193,42,1,7.69,24,0.5,0.5,0,0,,0.3,25.3,2,1
